Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
LHX,L3Harris Technologies Inc,1.16%,252.81,+8.64,+3.54%,1.62 M,169.55 - 258.89
PWR,Quanta Services Inc,1.10%,308.17,-1.70,-0.55%,0.67 M,153.74 - 317.91
CPRT,Copart Inc,1.10%,51.71,+0.33,+0.64%,2.31 M,42.41 - 58.58
CMI,Cummins Inc,1.09%,329.17,-3.31,-1.00%,0.6 M,212.80 - 340.82
PAYX,Paychex Inc,1.09%,140.33,-1.35,-0.95%,1.24 M,106.27 - 144.17
FAST,Fastenal Co,1.05%,75.85,+0.62,+0.82%,2.1 M,56.41 - 79.04
HWM,Howmet Aerospace Inc.,1.00%,101.39,+0.77,+0.77%,1.4 M,42.94 - 106.93
RSG,Republic Services Inc,0.99%,199.83,-1.70,-0.84%,0.52 M,145.32 - 208.69
OTIS,Otis Worldwide Corp,0.98%,101.26,-1.23,-1.20%,1.51 M,75.16 - 106.33
IR,Ingersoll Rand Inc.,0.94%,96.12,+0.19,+0.20%,1.9 M,59.20 - 102.74
AME,AMETEK Inc,0.93%,166.96,+0.38,+0.23%,0.6 M,136.89 - 186.33
VRSK,Verisk Analytics Inc,0.91%,264.65,-0.32,-0.12%,0.53 M,215.32 - 287.13
ODFL,Old Dominion Freight Line Inc,0.90%,197.79,+5.98,+3.12%,1.95 M,165.49 - 227.80
DAL,Delta Air Lines,0.84%,54.12,-0.65,-1.19%,5.98 M,30.60 - 56.48
EFX,Equifax Inc,0.81%,269.89,-1.87,-0.69%,0.77 M,159.95 - 309.63
WAB,Wabtec,0.80%,188.76,-0.32,-0.17%,1.15 M,102.67 - 192.48
AXON,Axon Enterprise Inc,0.77%,444.52,+1.40,+0.32%,0.33 M,199.29 - 455.17
XYL,Xylem Inc,0.77%,130.42,-0.23,-0.18%,0.64 M,87.59 - 146.08
ROK,Rockwell Automation Inc,0.74%,269.86,+2.18,+0.81%,0.38 M,242.81 - 312.76
FTV,Fortive Corp,0.64%,74.97,-0.05,-0.07%,2.73 M,63.50 - 87.10
VLTO,Veralto Corp,0.62%,104.05,-1.74,-1.64%,1.54 M,65.51 - 115.00
DOV,Dover Corp,0.62%,186.98,+2.20,+1.19%,1.24 M,127.25 - 195.68
BR,Broadridge Financial Solutions Inc.,0.60%,214.03,-2.73,-1.26%,0.27 M,166.73 - 224.32
UAL,"United Airlines Holding, Inc",0.59%,74.64,+0.13,+0.17%,7.83 M,33.68 - 75.41
HUBB,Hubbell Inc,0.58%,444.52,-5.66,-1.26%,0.38 M,248.37 - 461.77
LDOS,Leidos Holdings Inc,0.55%,168.71,-0.08,-0.05%,0.59 M,90.30 - 170.15
BLDR,Builders FirstSource,0.51%,180.80,-0.86,-0.47%,0.86 M,105.24 - 214.70
MAS,Masco Corp,0.43%,81.26,-1.62,-1.95%,1.58 M,49.24 - 86.70
LUV,Southwest Airlines Co,0.43%,29.43,+0.41,+1.41%,9.32 M,21.91 - 35.18
J,Jacobs Solutions Inc.,0.43%,140.52,-0.94,-0.66%,0.45 M,96.85 - 144.56
SNA,Snap On Inc,0.42%,326.58,+0.93,+0.29%,0.22 M,250.30 - 330.51
EXPD,Expeditors Intl of WA Inc,0.41%,119.84,+0.26,+0.22%,0.6 M,107.03 - 131.59
PNR,Pentair PLC,0.40%,98.96,-0.43,-0.43%,1.21 M,57.40 - 101.00
SWK,Stanley Black & Decker,0.38%,101.98,-0.91,-0.88%,0.93 M,76.57 - 110.88
TXT,Textron Inc,0.37%,82.35,+0.86,+1.06%,1.63 M,74.13 - 97.34
IEX,IDEX Corp,0.37%,202.82,-0.66,-0.32%,0.27 M,183.77 - 246.36
JBHT,J.B. Hunt Transport Services,0.34%,174.83,-0.98,-0.56%,0.77 M,153.12 - 219.51
NDSN,Nordson Corp,0.33%,248.10,-0.79,-0.32%,0.14 M,208.91 - 279.38
ROL,Rollins Inc,0.32%,46.54,+0.06,+0.13%,1.66 M,33.58 - 51.96
CHRW,CH Robinson Worldwide Inc,0.31%,108.12,+1.39,+1.30%,0.95 M,65.00 - 113.10
ALLE,Allegion plc,0.30%,142.60,-2.67,-1.84%,1.16 M,95.97 - 156.10
DAY,"Dayforce, Inc.",0.25%,64.84,-0.22,-0.34%,1.13 M,47.08 - 74.66
HII,Huntington Ingalls Industries Inc.,0.24%,253.83,-0.87,-0.34%,0.27 M,213.02 - 299.50
GNRC,Generac Holdings Inc,0.24%,164.40,-1.65,-0.99%,0.52 M,79.86 - 176.14
AOS,A.O. Smith Corp,0.22%,76.87,-0.47,-0.61%,0.82 M,65.20 - 92.45
PAYC,Paycom Software Inc,0.19%,164.63,-0.55,-0.33%,0.33 M,139.50 - 253.33
AMTM,Amentum Holdings Inc.,0.09%,29.65,-0.32,-1.07%,1.28 M,0.00 - 0.00
