Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
BDX,Becton Dickinson & Co,1.26%,238.13,-0.49,-0.21%,1 M,218.75 - 259.92
HCA,HCA Healthcare Inc,1.24%,363.55,-35.35,-8.86%,4.26 M,220.55 - 417.14
MCK,McKesson Corp,1.21%,507.41,+2.45,+0.49%,0.56 M,431.35 - 637.51
EW,Edwards Lifesciences Corp,0.77%,69.38,-0.97,-1.38%,8.17 M,58.93 - 96.12
COR,"Cencora, Inc.",0.75%,234.47,-0.69,-0.29%,1.01 M,182.75 - 247.66
GEHC,GE Healthcare Technologies Inc.,0.74%,88.42,-0.48,-0.54%,2.04 M,62.35 - 94.55
A,Agilent Technologies Inc,0.70%,130.19,-0.50,-0.38%,1.25 M,96.80 - 155.35
RMD,ResMed Inc,0.69%,256.07,+17.02,+7.12%,3.52 M,132.24 - 260.49
IQV,IQVIA Holdings Inc,0.68%,214.63,+2.92,+1.38%,1.01 M,167.42 - 261.73
IDXX,IDEXX Laboratories Inc,0.68%,451.41,-0.86,-0.19%,0.51 M,372.50 - 583.39
CNC,Centene Corp,0.62%,64.22,+2.60,+4.22%,12.14 M,59.77 - 81.42
HUM,Humana Inc,0.58%,260.73,+2.15,+0.83%,1.82 M,213.31 - 527.18
DXCM,DexCom Inc,0.54%,73.44,-1.41,-1.88%,14.56 M,62.34 - 142.00
MTD,Mettler-Toledo Intl,0.50%,1292.77,-0.61,-0.05%,0.09 M,928.50 - 1546.93
CAH,Cardinal Health Inc,0.50%,110.89,-1.27,-1.13%,1.32 M,90.19 - 116.05
BIIB,Biogen Inc,0.49%,181.69,-2.17,-1.18%,1.72 M,181.25 - 268.30
WST,West Pharmaceutical Services Inc,0.41%,307.92,-22.73,-6.87%,1.54 M,265.00 - 413.70
STE,STERIS plc,0.41%,224.12,-3.12,-1.37%,0.41 M,195.47 - 248.24
COO,Cooper Companies Inc,0.39%,107.82,+0.52,+0.48%,3.27 M,75.94 - 112.38
ZBH,Zimmer Biomet Holdings Inc,0.38%,102.35,-1.65,-1.59%,1.4 M,101.47 - 133.90
WAT,Waters Corp,0.35%,324.55,-2.75,-0.84%,0.21 M,234.04 - 367.21
LH,Labcorp Holdings Inc.,0.35%,228.63,-1.44,-0.63%,0.82 M,191.97 - 239.50
MOH,Molina Healthcare,0.35%,325.54,+1.95,+0.60%,1.58 M,272.69 - 423.92
HOLX,Hologic Inc,0.34%,80.83,-0.08,-0.10%,1.32 M,64.02 - 84.67
BAX,Baxter Intl Inc,0.34%,35.97,-0.76,-2.07%,2.17 M,31.75 - 44.01
MRNA,"Moderna, Inc.",0.33%,53.09,+0.29,+0.55%,3.7 M,52.26 - 170.47
DGX,Quest Diagnostics,0.32%,155.04,-2.95,-1.87%,0.81 M,123.04 - 160.95
PODD,INSULET CORP,0.30%,233.63,-4.00,-1.68%,0.43 M,128.68 - 243.98
ALGN,Align Technology Inc,0.28%,219.30,+2.88,+1.33%,1.15 M,176.34 - 335.40
RVTY,"Revvity, Inc.",0.26%,116.33,+0.19,+0.16%,0.73 M,79.50 - 128.15
VTRS,Viatris Inc,0.25%,11.44,-0.04,-0.35%,3.18 M,8.74 - 13.62
UHS,Universal Health Services B,0.22%,202.75,-21.91,-9.75%,1.48 M,121.00 - 243.25
TFX,Teleflex Inc,0.20%,233.63,-1.99,-0.84%,0.25 M,177.63 - 257.85
TECH,Bio-Techne Corp,0.20%,68.68,+0.31,+0.45%,0.68 M,51.79 - 85.57
CTLT,Catalent Inc,0.20%,59.09,-0.41,-0.69%,2.47 M,31.80 - 61.20
INCY,Incyte Corp,0.19%,65.07,-0.17,-0.26%,1.09 M,50.27 - 70.36
SOLV,Solventum Corp.,0.19%,73.19,-0.01,-0.01%,0.71 M,0.00 - 0.00
CRL,Charles River Laboratories International Inc.,0.17%,182.12,-0.61,-0.33%,0.5 M,161.65 - 275.00
HSIC,Henry Schein Inc,0.16%,70.00,-0.88,-1.24%,0.74 M,60.01 - 82.63
DVA,DaVita Inc,0.13%,156.99,-4.39,-2.72%,0.85 M,75.47 - 168.50
